GenreCorrected,Count
drama|comedy|romance|musical,1
drama|comedy|teen,1
drama|comedy|thriller,2
drama|coming_of_age,2
drama|costume,1
drama|crime,70
drama|crime|action|action|action|action,1
drama|crime|children,1
drama|crime|thriller,2
drama|crime|thriller|action|action|action,1
drama|cult,1
drama|dance,1
drama|disaster,2
drama|documentary,2
drama|environmental|human|rights,1
drama|epic,3
drama|exploitation,2
drama|fantasy,4
drama|fantasy|children|thriller,1
drama|fantasy|thriller|romance,1
drama|gangster,1
drama|history,10
drama|history|action,2
drama|independent,1
drama|kaiju|mecha|space|opera|action|action,1
drama|mecha|action|action|action,2
drama|music,4
drama|musical,45
drama|musical|romance,3
drama|music|romance,1
drama|mystery,24
drama|mystery|action,2
drama|mystery|crime,3
drama|mystery|romance,1
drama|mystery|thriller,4
drama|patriotic,1
drama|period,1
drama|political,1
drama|political|thriller,2
drama|road,2
drama|romance,135
drama|romance|action,5
drama|romance|adult,1
drama|romance|children,2
drama|romance|children|musical,1
drama|romance|comedy,5
drama|romance|comedy|children|musical,1
drama|romance|comedy|musical,1
drama|romance|crime,1
drama|romance|history,1
drama|romance|musical,4
drama|romance|musical|children,1
drama|romance|musical|comedy,1
drama|romance|musical|comedy|children,1
drama|romance|musical|crime,1
drama|romance|mystery,1
drama|romance|mystery|crime,1
drama|romance|slice_of_life,4
drama|romance|thriller,4
drama|romance|thriller|musical,2
drama|romance|youth|action|slice_of_life,1
drama|romance|youth|mystery,1
drama|romance||comedy,1
drama|romance||history,1
drama|romance||musical,1
drama|satire,1
drama|sentiment,1
drama|series,1
drama|silent,1
drama|slice_of_life|sports|comedy|drama,1
drama|sport,2
drama|sports,22
drama|sports|comedy|drama,2
drama|teen,1
drama|thriller,65
drama|thriller|action,1
drama|thriller|business,1
drama|thriller|crime,1
drama|thriller|thriller,2
drama|tokusatsu|action|action,1
drama|youth|musical,1
drama|youth|musical|romance|idol,1
drama|youth|sports,1
drama||action,1
drama||musical|romance,1
duology,1
dystopia|crime|cyberpunk,1
d|ramanaidu|kalyani,1
educational,3
epic,11
epic|action,2
epic|biography,2
epic|biography|romance|drama,1
epic|drama,2
epic|history,2
epic|patriotism,1
experimental,4
experimental|art,1
experimental|short,1
exploitation,8
fairy|tale,2
fantasy,204
fantasy|action,19
fantasy|action|action,2
fantasy|action|action|mecha|supernatural,1
fantasy|action|action|science|fantasy|action|action,1
fantasy|action|comedy,1
fantasy|action|comedy|comedy|drama|drama|magical|girl,1
fantasy|action|comedy|comedy|drama|drama|science|fantasy,1
fantasy|action|drama,1
fantasy|action|drama|action|mystery|action,1
fantasy|action|kids,1
fantasy|action|musical|drama|romance,1
fantasy|action|science|fantasy,2
fantasy|action|science|fantasy|action,1
fantasy|action|science|fantasy|action|action|action,1
fantasy|and|comedy,1
fantasy|animation,9
fantasy|children,4
fantasy|children|action|comedy|comedy|drama|slice_of_life,1
fantasy|comedy,6
fantasy|comedy|action,2
fantasy|costume,1
fantasy|drama,9
fantasy|drama|action|action|action|tokusatsu,1
fantasy|drama|action|magical|girl|action|action,1
fantasy|drama|action|magical|girl|science|fantasy|action,1
fantasy|drama|children|action|action|action,1
fantasy|drama|children|action|comedy,2
fantasy|drama|children|magical|girl|science|fantasy,1
fantasy|drama|comedy,2
fantasy|drama|comedy|mystery,1
fantasy|drama|dance|musical|romance|idol,1
fantasy|drama|romance|action,1
fantasy|drama|romance|slice_of_life,1
fantasy|drama|science|fantasy,1
fantasy|musical,2
fantasy|musical|romance,1
fantasy|period,1
fantasy|romance,11
fantasy|romance|action,2
fantasy|romance|comedy,1
fantasy|romance|drama,1
fantasy|romance|thriller,1
fantasy|sports,1
fantasy|swashbuckler,1
fantasy|teen,1
fantasy|thriller,15
fantasy|thriller|action,1
fantasy|thriller|romance,1
fantasy|thriller|romance|action|thriller,1
fantasy|wuxia,1
feature|animation,1
fiction,2
folklore,17
found|footage,1
found|footage|thriller,1
futuristic|drama,2
gangster,6
gangster|black|comedy,1
gangster|drama,2
gangster|thriller,2
gore,1
gothic|mystery|dance,1
harem|fantasy|action|drama|romance|comedy|magical|girl,1
history,85
history|action,10
history|action|action,1
history|action|drama,1
history|action|military|action|action,2
history|adult,1
history|animation,1
history|biography,5
history|chambara|comedy|jidaigeki|tokusatsu|science|fantasy,1
history|comedy,3
history|comedy|satire,1
history|costume|drama,1
history|costume|romance,1
history|crime,1
history|disaster|romance,1
history|drama,66
history|drama|action,4
history|drama|action|action|action|action,1
history|drama|comedy|drama|romance|youth,1
history|drama|musical,1
history|drama|romance,1
history|drama|triad,1
history|epic,7
history|epic|disaster,1
history|epic|drama,1
history|fantasy,2
history|fantasy|action|action|science|fantasy|action,3
history|fantasy|drama|jidaigeki|action,2
history|fiction,2
history|music,1
history|psycho|thriller|black|comedy|dark|fantasy|science|fantasy,1
history|romance,3
history|romance|drama,1
history|romance|fiction|drama,1
history|thriller,1
history|thriller|drama,1
hockey|drama,1
holocaust|drama,1
huangmei|opera,1
imax,1
imdb,2
immigrant|children|drama,1
independent,1
indira|amperiani|bhaskara|s|narayanan,1
inspired|by|true|event,1
interactive|cinema,1
inuit|drama,1
investigative,1
jeet|nusrat|faria|mazhar|shraddha|das,1
jidaigeki,3
jr|ntr|charmy|kaur|ileana|d'cruz,1
jr|ntr|sameera|reddy|sonu|sood,1
k9,1
kaiju,13
kaiju|eiga,2
kalyan|ram,1
keiji,1
ken'ichi|maysuyama|koyuki,1
korean|action,1
lee|sinje,1
legal|drama,2
